PDF名称,高管致辞开始页码,高管致辞结束页码
000001_平安银行_2020.pdf,2,3
000001_平安银行_2021.pdf,4,5
000002_万科A_2020.pdf,3,3
000002_万科A_2021.pdf,3,3
000063_中兴通讯_2020.pdf,4,5
000063_中兴通讯_2021.pdf,4,6
000066_中国长城_2020.pdf,4,5
000066_中国长城_2021.pdf,4,4
000069_华侨城A_2020.pdf,0,0
000069_华侨城A_2021.pdf,0,0
000100_TCL科技_2020.pdf,6,7
000100_TCL科技_2021.pdf,4,5
000157_中联重科_2020.pdf,0,0
000157_中联重科_2021.pdf,0,0
000166_申万宏源_2020.pdf,4,4
000166_申万宏源_2021.pdf,4,4
000301_东方盛虹_2020.pdf,3,3
000301_东方盛虹_2021.pdf,3,3
000333_美的集团_2020.pdf,0,0
000333_美的集团_2021.pdf,3,3
000338_潍柴动力_2020.pdf,4,5
000338_潍柴动力_2021.pdf,7,7
000425_徐工机械_2020.pdf,0,0
000425_徐工机械_2021.pdf,0,0
000538_云南白药_2020.pdf,4,4
000538_云南白药_2021.pdf,4,4
000568_泸州老窖_2020.pdf,0,0
000568_泸州老窖_2021.pdf,0,0
000596_古井贡酒_2020.pdf,0,0
000596_古井贡酒_2021.pdf,0,0
000625_长安汽车_2020.pdf,4,4
000625_长安汽车_2021.pdf,4,4
000651_格力电器_2020.pdf,0,0
000651_格力电器_2021.pdf,0,0
000661_长春高新_2020.pdf,0,0
000661_长春高新_2021.pdf,2,2
000703_恒逸石化_2020.pdf,6,6
000703_恒逸石化_2021.pdf,6,7
000708_中信特钢_2020.pdf,6,7
000708_中信特钢_2021.pdf,8,9
000725_京东方A_2020.pdf,3,4
000725_京东方A_2021.pdf,4,7
000768_中航西飞_2020.pdf,0,0
000768_中航西飞_2021.pdf,0,0
000776_广发证券_2020.pdf,4,4
000776_广发证券_2021.pdf,4,4
000783_长江证券_2020.pdf,0,0
000783_长江证券_2021.pdf,0,0
000786_北新建材_2020.pdf,0,0
000786_北新建材_2021.pdf,0,0
000800_一汽解放_2020.pdf,3,3
000800_一汽解放_2021.pdf,3,3
000858_五粮液_2020.pdf,5,5
000858_五粮液_2021.pdf,5,5
000876_新希望_2020.pdf,4,4
000876_新希望_2021.pdf,4,4
000895_双汇发展_2020.pdf,0,0
000895_双汇发展_2021.pdf,0,0
000938_紫光股份_2020.pdf,0,0
000938_紫光股份_2021.pdf,0,0
000963_华东医药_2020.pdf,4,4
000963_华东医药_2021.pdf,4,4
000977_浪潮信息_2020.pdf,4,4
000977_浪潮信息_2021.pdf,5,5
001979_招商蛇口_2020.pdf,4,4
001979_招商蛇口_2021.pdf,4,4
002001_新和成_2020.pdf,0,0
002001_新和成_2021.pdf,0,0
002007_华兰生物_2020.pdf,0,0
002007_华兰生物_2021.pdf,0,0
002008_大族激光_2020.pdf,0,0
002008_大族激光_2021.pdf,0,0
002024_苏宁易购_2020.pdf,4,4
002024_苏宁易购_2021.pdf,0,0
002027_分众传媒_2020.pdf,6,6
002027_分众传媒_2021.pdf,4,4
002032_苏泊尔_2021.pdf,4,4
002044_美年健康_2021.pdf,4,4
002049_紫光国微_2021.pdf,0,0
002050_三花智控_2021.pdf,0,0
002064_华峰化学_2020.pdf,5,7
002064_华峰化学_2021.pdf,4,5
002120_韵达股份_2020.pdf,0,0
002120_韵达股份_2021.pdf,0,0
002129_中环股份_2020.pdf,,
002129_中环股份_2021.pdf,,
002142_宁波银行_2020.pdf,,
002142_宁波银行_2021.pdf,,
002157_正邦科技_2020.pdf,,
002157_正邦科技_2021.pdf,,
002179_中航光电_2020.pdf,,
002179_中航光电_2021.pdf,,
002202_金风科技_2020.pdf,,
002202_金风科技_2021.pdf,,
002230_科大讯飞_2020.pdf,,
002230_科大讯飞_2021.pdf,,
002236_大华股份_2020.pdf,,
002236_大华股份_2021.pdf,,
002241_歌尔股份_2020.pdf,,
002241_歌尔股份_2021.pdf,,
002252_上海莱士_2020.pdf,,
002252_上海莱士_2021.pdf,,
002271_东方雨虹_2020.pdf,,
002271_东方雨虹_2021.pdf,,
002304_洋河股份_2020.pdf,,
002304_洋河股份_2021.pdf,,
002311_海大集团_2020.pdf,,
002311_海大集团_2021.pdf,,
002352_顺丰控股_2021.pdf,,
002371_北方华创_2020.pdf,,
002371_北方华创_2021.pdf,,
002410_广联达_2020.pdf,,
002410_广联达_2021.pdf,,
002414_高德红外_2020.pdf,,
002414_高德红外_2021.pdf,,
002415_海康威视_2020.pdf,,
002415_海康威视_2021.pdf,,
002459_晶澳科技_2020.pdf,,
002459_晶澳科技_2021.pdf,,
002460_赣锋锂业_2020.pdf,,
002460_赣锋锂业_2021.pdf,,
002466_天齐锂业_2020.pdf,,
002466_天齐锂业_2021.pdf,,
002475_立讯精密_2020.pdf,,
002475_立讯精密_2021.pdf,,
002493_荣盛石化_2020.pdf,,
002493_荣盛石化_2021.pdf,,
002555_三七互娱_2020.pdf,,
002555_三七互娱_2021.pdf,,
002594_比亚迪_2020.pdf,,
002594_比亚迪_2021.pdf,,
002600_领益智造_2020.pdf,,
002600_领益智造_2021.pdf,,
002601_龙佰集团_2020.pdf,,
002601_龙佰集团_2021.pdf,,
002602_世纪华通_2021.pdf,,
002607_中公教育_2020.pdf,,
002607_中公教育_2021.pdf,,
002624_完美世界_2020.pdf,,
002624_完美世界_2021.pdf,,
002709_天赐材料_2021.pdf,,
002714_牧原股份_2020.pdf,,
002714_牧原股份_2021.pdf,,
002736_国信证券_2020.pdf,,
002736_国信证券_2021.pdf,,
002812_恩捷股份_2020.pdf,,
002812_恩捷股份_2021.pdf,,
002821_凯莱英_2021.pdf,,
002841_视源股份_2020.pdf,,
002841_视源股份_2021.pdf,,
002916_深南电路_2020.pdf,,
002916_深南电路_2021.pdf,,
002938_鹏鼎控股_2020.pdf,,
002938_鹏鼎控股_2021.pdf,,
003816_中国广核_2020.pdf,,
003816_中国广核_2021.pdf,,
300003_乐普医疗_2020.pdf,,
300003_乐普医疗_2021.pdf,,
300014_亿纬锂能_2021.pdf,,
300015_爱尔眼科_2020.pdf,,
300015_爱尔眼科_2021.pdf,,
300033_同花顺_2020.pdf,,
300033_同花顺_2021.pdf,,
300059_东方财富_2020.pdf,,
300059_东方财富_2021.pdf,,
300122_智飞生物_2020.pdf,,
300122_智飞生物_2021.pdf,,
300124_汇川技术_2020.pdf,,
300124_汇川技术_2021.pdf,,
300142_沃森生物_2020.pdf,,
300142_沃森生物_2021.pdf,,
300144_宋城演艺_2021.pdf,,
300274_阳光电源_2021.pdf,,
300316_晶盛机电_2021.pdf,,
300347_泰格医药_2021.pdf,,
300408_三环集团_2020.pdf,,
300408_三环集团_2021.pdf,,
300413_芒果超媒_2020.pdf,,
300413_芒果超媒_2021.pdf,,
300433_蓝思科技_2020.pdf,,
300433_蓝思科技_2021.pdf,,
300450_先导智能_2020.pdf,,
300450_先导智能_2021.pdf,,
300498_温氏股份_2020.pdf,,
300498_温氏股份_2021.pdf,,
300601_康泰生物_2020.pdf,,
300601_康泰生物_2021.pdf,,
300628_亿联网络_2021.pdf,,
300676_华大基因_2020.pdf,,
300676_华大基因_2021.pdf,,
300750_宁德时代_2020.pdf,,
300750_宁德时代_2021.pdf,,
300759_康龙化成_2020.pdf,,
300759_康龙化成_2021.pdf,,
300760_迈瑞医疗_2020.pdf,,
300760_迈瑞医疗_2021.pdf,,
300782_卓胜微_2020.pdf,,
300782_卓胜微_2021.pdf,,
300888_稳健医疗_2020.pdf,,
300896_爱美客_2020.pdf,,
300896_爱美客_2021.pdf,,
300999_金龙鱼_2020.pdf,,
300999_金龙鱼_2021.pdf,,
600000_浦发银行_2020.pdf,,
600000_浦发银行_2021.pdf,,
600010_包钢股份_2020.pdf,,
600010_包钢股份_2021.pdf,,
600011_华能国际_2020.pdf,,
600011_华能国际_2021.pdf,,
600015_华夏银行_2020.pdf,,
600015_华夏银行_2021.pdf,,
600016_民生银行_2020.pdf,,
600016_民生银行_2021.pdf,,
600018_上港集团_2021.pdf,,
600019_宝钢股份_2020.pdf,,
600019_宝钢股份_2021.pdf,,
600025_华能水电_2020.pdf,,
600025_华能水电_2021.pdf,,
600028_中国石化_2021.pdf,,
600029_南方航空_2020.pdf,,
600029_南方航空_2021.pdf,,
600030_中信证券_2020.pdf,,
600030_中信证券_2021.pdf,,
600031_三一重工_2020.pdf,,
600031_三一重工_2021.pdf,,
600036_招商银行_2021.pdf,,
600048_保利发展_2020.pdf,,
600048_保利发展_2021.pdf,,
600050_中国联通_2020.pdf,,
600050_中国联通_2021.pdf,,
600061_国投资本_2020.pdf,,
600061_国投资本_2021.pdf,,
600079_人福医药_2020.pdf,,
600079_人福医药_2021.pdf,,
600085_同仁堂_2020.pdf,,
600085_同仁堂_2021.pdf,,
600104_上汽集团_2020.pdf,,
600104_上汽集团_2021.pdf,,
600109_国金证券_2020.pdf,,
600109_国金证券_2021.pdf,,
600115_中国东航_2020.pdf,,
600115_中国东航_2021.pdf,,
600150_中国船舶_2021.pdf,,
600161_天坛生物_2020.pdf,,
600161_天坛生物_2021.pdf,,
600176_中国巨石_2020.pdf,,
600176_中国巨石_2021.pdf,,
600183_生益科技_2020.pdf,,
600183_生益科技_2021.pdf,,
600196_复星医药_2020.pdf,,
600196_复星医药_2021.pdf,,
600276_恒瑞医药_2021.pdf,,
600309_万华化学_2020.pdf,,
600309_万华化学_2021.pdf,,
600332_白云山_2020.pdf,,
600332_白云山_2021.pdf,,
601628_中国人寿_2020.pdf,,
601628_中国人寿_2021.pdf,,
601633_长城汽车_2020.pdf,3,3
601633_长城汽车_2021.pdf,3,3
601658_邮储银行_2020.pdf,5,6
601658_邮储银行_2021.pdf,5,6
601668_中国建筑_2020.pdf,8,8
601668_中国建筑_2021.pdf,20,21
601669_中国电建_2020.pdf,0,0
601669_中国电建_2021.pdf,0,0
601688_华泰证券_2020.pdf,5,5
601688_华泰证券_2021.pdf,6,7
601696_中银证券_2020.pdf,0,0
601696_中银证券_2021.pdf,0,0
601698_中国卫通_2020.pdf,3,3
601728_中国电信_2020.pdf,4,4
601728_中国电信_2021.pdf,5,7
601766_中国中车_2020.pdf,8,8
601766_中国中车_2021.pdf,12,13
601788_光大证券_2020.pdf,0,0
601788_光大证券_2021.pdf,0,0
601800_中国交建_2020.pdf,6,7
601800_中国交建_2021.pdf,5,7
601808_中海油服_2020.pdf,0,0
601808_中海油服_2021.pdf,0,0
601816_京沪高铁_2020.pdf,4,4
601816_京沪高铁_2021.pdf,4,5
601818_光大银行_2020.pdf,5,5
601818_光大银行_2021.pdf,5,5
601838_成都银行_2020.pdf,0,0
601838_成都银行_2021.pdf,0,0
601857_中国石油_2020.pdf,8,9
601857_中国石油_2021.pdf,12,13
601865_福莱特_2020.pdf,0,0
601865_福莱特_2021.pdf,0,0
601868_中国能建_2020.pdf,3,3
601868_中国能建_2021.pdf,6,7
601877_正泰电器_2020.pdf,5,5
601877_正泰电器_2021.pdf,5,5
601878_浙商证券_2020.pdf,0,0
601878_浙商证券_2021.pdf,0,0
601881_中国银河_2020.pdf,3,3
601881_中国银河_2021.pdf,5,5
601898_中煤能源_2020.pdf,4,5
601898_中煤能源_2021.pdf,4,5
601899_紫金矿业_2020.pdf,5,6
601899_紫金矿业_2021.pdf,4,7
601901_方正证券_2020.pdf,0,0
601901_方正证券_2021.pdf,0,0
601916_浙商银行_2020.pdf,0,0
601916_浙商银行_2021.pdf,0,0
601919_中远海控_2020.pdf,5,6
601919_中远海控_2021.pdf,5,6
601933_永辉超市_2020.pdf,0,0
601933_永辉超市_2021.pdf,0,0
601939_建设银行_2020.pdf,5,7
601939_建设银行_2021.pdf,4,6
601966_玲珑轮胎_2020.pdf,3,5
601966_玲珑轮胎_2021.pdf,3,5
601985_中国核电责任_2021.PDF,3,3
601988_中国银行_2020.pdf,4,4
601988_中国银行_2021.pdf,4,5
601989_中国重工_2020.pdf,3,3
601989_中国重工_2021.pdf,3,3
601990_南京证券_2020.pdf,0,0
601990_南京证券_2021.pdf,0,0
601995_中金公司_2020.pdf,0,0
601995_中金公司_2021.pdf,5,5
601998_中信银行_2020.pdf,5,7
601998_中信银行_2021.pdf,6,10
603019_中科曙光_2020.pdf,0,0
603019_中科曙光_2021.pdf,0,0
603195_公牛集团_2020.pdf,3,3
603195_公牛集团_2021.pdf,3,3
603259_药明康德_2020.pdf,4,4
603259_药明康德_2021.pdf,4,4
603288_海天味业_2020.pdf,0,0
603288_海天味业_2021.pdf,0,0
603338_浙江鼎力_2020.pdf,0,0
603338_浙江鼎力_2021.pdf,5,5
603369_今世缘_2021.pdf,1,2
603501_韦尔股份_2020.pdf,0,0
603501_韦尔股份_2021.pdf,0,0
603658_安图生物_2021.pdf,0,0
603659_璞泰来_2020.pdf,0,0
603659_璞泰来_2021.pdf,0,0
603799_华友钴业_2020.pdf,5,6
603799_华友钴业_2021.pdf,4,4
